,Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,EWP
HF FOF Div,-0.8063671439257672,1.6919504858995336,0.7036624162584744,6.983034191566768,-1.8046259400784967,2.270520156172649
MSCI Canada,0.12246483028594422,5.996706095610705,1.3472473775418232,0.2923609231927917,-1.1094052744593794,4.1601712514381495
EM Bond,5.065579257936663,-0.7822975187438002,0.0071066290426207565,-2.3871056014051577,-0.46940827401554364,-0.4488971773806265
High Yield,-2.1221548657640854,2.9138366242574567,0.6364302921873054,-2.3984763448441404,6.067546788506274,1.9142051815311696
MSCI Japan,-0.05726859648056322,-0.734299222860283,-0.2845973593878893,0.7692440295095576,0.6284557029857933,-0.4663058747774141
Commodities,-2.127544821784567,-3.1347937186555637,3.702136298768532,1.0440093236317594,0.09916598662879925,1.4423394307926816
US Dollar,0.6385035271517677,1.7718243334702297,-0.8925843653130086,1.0425936806857266,-1.303052811185231,0.28641821384462135
TIPs,2.8873163963338744,0.7735150731331413,-0.5372833751592877,-1.7460768059666032,32.93722099410087,1.8872029856247645
Global AGG,0.4464147618281399,2.032206827337385,0.6130436983932323,3.0991088320521634,-0.09098909090889205,2.0037056599588494
US Tbill 1-3yr,4.747391033103847,-1.3276283203375538,0.04266722600762884,1.8073255412316225,-0.2501031131886744,-0.11360455224386992
US Muni,1.4914663452335957,-2.00609288028339,-0.6868861532773515,1.1620926867209116,-2.461995311946775,-1.4844544391648449
Gold,1.0070054009509088,-2.6322864880872094,0.15333312939729798,3.1901419730006944,1.2932011705447004,-0.6340623497293082
