,Asset 1,Asset 1,Asset 1,Asset 1,Asset 1,Asset 2,Asset 2,Asset 2,Asset 2,Asset 2,Asset3,Asset3,Asset3,Asset3,Asset3,Asset 4,Asset 4,Asset 4,Asset 4,Asset 4,Asset 5,Asset 5,Asset 5,Asset 5,Asset 5
,US AGG,US Small Cap,High Yield,HF FOF Div,Gold,US Growth,US Tbill 1-3yr,High Yield,Long Short HF,Commodities,Commodities,MSCI EM Equity,Global AGG,High Yield,Long Short HF,HF FOF Div,MSCI EM Equity,Global AGG,High Yield,Commodities,TIPs,MSCI EM Equity,US AGG,High Yield,Relative Value HF
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-31,0.7613189086081735,0.009262389458053919,0.0025320524132215125,-0.02387189897430874,0.0006955635442285491,1.3860122488153415,-0.7169650465178069,-0.034090525657105186,0.010521503695666373,-0.008180312002948886,0.6356389850826374,0.05108981738672476,0.2849199797058569,0.0018806691709444285,0.8298166306980287,0.5931767161723681,0.13035866652399902,0.18498327287083824,-0.2052499130648147,0.06698191177138192,0.9591379772932328,0.013970023439255528,-0.08924034758179457,0.04252807534225636,-0.02040549655397965
2004-02-29,0.7613152007596379,0.009242215031198136,0.0025246477441333223,-0.02387908022682722,0.0007100861223304413,1.3858381321214028,-0.7169831712158657,-0.034232109259794585,0.010350094964608869,-0.008337453602315748,0.6356389850814739,0.05108981738448129,0.28491997970561905,0.0018806691699030376,0.8298166306967751,0.5948894223447213,0.13426666546041655,0.18538491198247628,-0.20343636958941624,0.06900605557117387,0.9609257289334868,0.01903973599479354,-0.08807944380290092,0.044871806691143795,-0.018640765506878
2004-03-31,0.7612996026197083,0.009212132028184439,0.002518454123243627,-0.023898261866032194,0.0007418936610720794,1.3859111613690567,-0.7168082131470539,-0.03441617107119388,0.010607329976000224,-0.005988380887725353,0.6356389850197206,0.051089817339385335,0.2849199797005265,0.0018806691698886047,0.8298166306851585,0.5962454344147463,0.13667262225948523,0.18561638510033873,-0.20158682946150092,0.06890639687173772,0.9593622611679569,0.017906990053300355,-0.08837794202331115,0.04736418083624873,-0.017619248440895977
2004-04-30,0.7613145391245026,0.009219911984626142,0.0025395381183054584,-0.023899529846998294,0.0010851545759848497,1.3860177872922192,-0.7166390351514519,-0.0346123349108704,0.010858062405034508,-0.0036951220050299716,0.6356389849871364,0.05108981730608986,0.2849199797059127,0.0018806691761986682,0.8298166306769407,0.5972574685245617,0.13810136894432634,0.18498009563677953,-0.20026107395480824,0.06639107476993526,0.9577452286843777,0.016735763710915705,-0.08869952848425895,0.04983592948647443,-0.016610968632828984
2004-05-31,0.7615167120148185,0.009594963312668129,0.002608151349695345,-0.02384966789192177,0.002098865779053379,1.385670084287905,-0.7168654366530488,-0.03506699624376575,0.010294136067562132,-0.0020951063996041963,0.6356389849309908,0.05108981716377187,0.2849199796625789,0.001880669173723648,0.8298166306410324,0.5974119154189239,0.1296376659186137,0.17992300447106024,-0.19973251219767518,0.061737823976113715,0.9543478318768517,0.012428798914092577,-0.09001658747042215,0.052054981264914514,-0.015797954589326105
2004-06-30,0.7617245770648425,0.009947388305866688,0.002699106307940291,-0.02378728318548265,0.0030801316717811514,1.3848894023585323,-0.7170662318741285,-0.03515618611840976,0.009774438760067339,-0.000890824220308728,0.6356389848566159,0.05108981704290089,0.28491997961398985,0.0018806691880832727,0.8298166306071626,0.5968634162912272,0.11957635829732971,0.17525732643125194,-0.2004580700480656,0.05844253708852826,0.9475886111126139,0.012221619430332509,-0.09051368939397134,0.057492364514107004,-0.01428797704260152
2004-07-31,0.7618627489667422,0.009785062152392106,0.002612771678851114,-0.02376891520417443,0.004101746229212513,1.3839707806406172,-0.717265923576901,-0.03540538614776334,0.009137768511893324,0.0007714180569420859,0.6356389847993362,0.051089816920258324,0.28491997956420556,0.0018806691964697864,0.8298166305689274,0.5962408158028749,0.10942654071746177,0.17053195562868326,-0.20148209171228348,0.056001474219817604,0.9420988017426574,0.009915028794490018,-0.09379373168191185,0.055850338064420066,-0.01355917573851309
2004-08-31,0.7619423803309285,0.010020693391654345,0.002446609043789502,-0.02371743338335186,0.005171257590227352,1.3834013108787,-0.7174884800980297,-0.03573801186571601,0.008617276259694329,0.002324279986915978,0.6356389847280879,0.05108981681205756,0.28491997951457926,0.0018806691942022113,0.829816630545529,0.5960315742925365,0.10062752122648745,0.1658213476467571,-0.2035026037699436,0.05225390172414576,0.936868324444272,0.007313669406490057,-0.09691430890720922,0.05442576397288172,-0.012725675150871252
