,Asset 1,Asset 1,Asset 1,Asset 1,Asset 1,Asset 2,Asset 2,Asset 2,Asset 2,Asset 2,Asset3,Asset3,Asset3,Asset3,Asset3,Asset 4,Asset 4,Asset 4,Asset 4,Asset 4,Asset 5,Asset 5,Asset 5,Asset 5,Asset 5
,US AGG,US Small Cap,High Yield,HF FOF Div,Gold,US Growth,US Tbill 1-3yr,High Yield,Long Short HF,Commodities,Commodities,MSCI EM Equity,Global AGG,High Yield,Long Short HF,HF FOF Div,MSCI EM Equity,Global AGG,High Yield,Commodities,TIPs,MSCI EM Equity,US AGG,High Yield,Relative Value HF
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-31,0.759928524086435,0.023393484309106042,-0.038163273008615904,-0.010609685441903674,0.0004308012323564255,1.4178904943867454,-0.7075883805913938,0.09177129157174915,0.1918729510017336,0.10066675248343622,0.6508544845365101,0.08042798310560359,0.2880303349842831,0.01549895663507749,0.846209034780496,0.6613171381182579,-0.022630926285948566,0.31522258946377646,-0.2706650684142008,0.018149114307245078,0.9415139582571832,-0.004196613089325714,-0.07991417946073905,0.140691242332336,-0.10529153264450825
2004-02-29,0.7624927142215643,0.021777575491895764,-0.040162700219251855,-0.008770180685456597,-0.0012872161201348711,1.6706948574522553,-0.7532359573302988,0.3945965384698783,0.35126698889793806,-0.6527621340858454,1.0350491583410473,0.1070812149661347,0.29386452104623945,-0.1740642681944924,0.7300035911696026,0.6088725556855651,-0.0411893168833319,0.31483442392263655,-0.38528804398928795,0.20295562320941612,0.982742442998825,0.022453399150144285,-0.07277706142083736,0.07034083651578128,-0.1344984379433362
2004-03-31,0.7549359585725058,0.016394370670127837,-0.04055099148401432,-0.015227357274195438,-0.01405955026691116,0.8967072630020123,-0.6958089576455836,1.0252348725340514,0.5457510959273534,-0.5898885220965085,0.5575581537367982,0.657477628183309,-0.5209534701088079,-0.7891101466592862,0.8315202569442377,0.6086661149163414,-0.10167634550953622,0.399864467997086,-0.3160418485779269,0.24043630600532512,0.9676009709202058,0.03186033252831171,-0.07826183479157615,0.06472986384483634,-0.13512042618798442
2004-04-30,0.7426518737652805,-0.0031304096039638865,-0.01217364245022003,0.014863409008213577,-0.014740749813040537,0.5826109307268308,0.9015637504943727,0.21088788117776647,1.8934957415315856,-0.9165886207763602,0.3722842432727093,0.9107313916053712,-0.20874049818796686,-0.9250706506709631,0.7589233572608814,0.48676015204651973,0.028840315175784642,0.6209627465115671,-0.4265939053688456,0.14921299150687473,0.9981148882934164,0.01781362725496614,-0.1545411911424826,0.021077917812424803,-0.01767755005443121
2004-05-31,0.6907789738967381,0.015683368348998968,-0.06306693813502115,0.05231178908084789,-0.00974220523638507,1.3787230293687225,0.5180512104690583,-1.30727424396401,1.8765059767112322,-0.7253691502022064,0.5993333146315585,0.4703756544432318,0.39444111897504125,-1.5991015769499155,1.3165539484205273,-1.0734490483061279,0.39837359463854005,-0.10908013064366684,0.5577644308891745,0.21434413940072627,0.906220170441609,-0.013149676175705716,0.10561531709115007,-0.06218193818233763,0.10558504802926053
2004-06-30,0.753402336983236,0.05330848432703282,0.07987637237134337,-0.1940163796265921,-0.029965297145429594,1.317913473835698,0.6675401377476153,-1.4222035298302054,1.6165164967934704,-0.5951490547643408,0.44587502208552704,0.4019977878836716,0.4500845894351708,-1.4190965803206648,1.6979950253645513,-0.9808016661996022,0.3788107059736812,-0.06679667772933465,0.5488984756376533,0.19368544740584154,0.9397623008273897,-0.017019768446305556,0.06997050053834725,0.03716483996018257,-0.06098888523283569
2004-07-31,0.825317434790978,0.039917018314261726,0.11146545771690139,-0.26680032494453865,-0.03737802959228552,1.3922000833214592,2.1157194195716182,-0.3157557113763334,0.16091710659641034,-0.442836597516499,0.7253025509875375,0.22001957529847369,0.9755320963555967,-0.20402375092519676,0.5448776907527595,-0.11068311096887073,0.2902371698734676,0.11116835761082866,0.049250442044807885,0.09130172919358924,0.9956232643810367,0.019832690946986965,-0.13819302919029802,0.13422470395559097,-0.21399038481628216
2004-08-31,0.8203203262638716,0.03958457469892299,0.10659648211062783,-0.25800313086940635,-0.03745677813093681,0.2769703120287972,-0.6012477976049007,-1.6830773340190173,2.462827692498743,-0.5059465786327113,0.8531961076884473,0.009977650398079602,0.8177308683837894,-0.35366370060377206,1.0797927801419522,0.6019077877711532,0.08989614916042771,0.272040548284602,-0.20126762662891368,0.11173052856392562,0.9873748900666551,0.006288614125096103,-0.1432520646230006,0.1332482972960412,-0.2295532909925827
